,state,year,sat_participation,sat_read_write,sat_math,sat_total,act_participation,act_english,act_math,act_reading,act_science,act_composite
0,Alabama,2018,0.06,595,571,1166,,,,,,
1,Alaska,2018,0.43,562,544,1106,,,,,,
2,Arizona,2018,0.29,577,572,1149,,,,,,
3,Arkansas,2018,0.05,592,576,1169,,,,,,
4,California,2018,0.6,540,536,1076,,,,,,
5,Colorado,2018,1,519,506,1025,,,,,,
6,Connecticut,2018,1,535,519,1053,,,,,,
7,Delaware,2018,1,505,492,998,,,,,,
8,District of Columbia,2018,0.92,497,480,977,,,,,,
9,Florida,2018,0.97,522,493,1014,,,,,,
10,Georgia,2018,0.7,542,522,1064,,,,,,
11,Hawaii,2018,0.56,550,549,1099,,,,,,
12,Idaho,2018,1,508,493,1001,,,,,,
13,Illinois,2018,0.99,513,506,1019,,,,,,
14,Indiana,2018,0.67,546,539,1086,,,,,,
15,Iowa,2018,0.03,634,631,1265,,,,,,
16,Kansas,2018,0.04,633,631,1265,,,,,,
17,Kentucky,2018,0.04,630,618,1248,,,,,,
18,Louisiana,2018,0.04,615,595,1210,,,,,,
19,Maine,2018,0.99,512,501,1013,,,,,,
20,Maryland,2018,0.76,545,535,1080,,,,,,
21,Massachusetts,2018,0.8,562,563,1125,,,,,,
22,Michigan,2018,1,511,499,1011,,,,,,
23,Minnesota,2018,0.04,643,655,1298,,,,,,
24,Mississippi,2018,0.03,630,606,1236,,,,,,
25,Missouri,2018,0.04,633,629,1262,,,,,,
26,Montana,2018,0.1,606,592,1198,,,,,,
27,Nebraska,2018,0.03,629,623,1252,,,,,,
28,Nevada,2018,0.23,574,566,1140,,,,,,
29,New Hampshire,2018,0.96,535,528,1063,,,,,,
30,New Jersey,2018,0.82,547,547,1094,,,,,,
31,New Mexico,2018,0.16,552,540,1093,,,,,,
32,New York,2018,0.79,534,534,1068,,,,,,
33,North Carolina,2018,0.52,554,543,1098,,,,,,
34,North Dakota,2018,0.02,640,643,1283,,,,,,
35,Ohio,2018,0.18,552,547,1099,,,,,,
36,Oklahoma,2018,0.08,541,521,1062,,,,,,
37,Oregon,2018,0.48,564,553,1117,,,,,,
38,Pennsylvania,2018,0.7,547,539,1086,,,,,,
39,Rhode Island,2018,0.97,513,505,1018,,,,,,
40,South Carolina,2018,0.55,547,523,1070,,,,,,
41,South Dakota,2018,0.03,622,618,1241,,,,,,
42,Tennessee,2018,0.06,624,607,1231,,,,,,
43,Texas,2018,0.66,520,512,1032,,,,,,
44,Utah,2018,0.04,618,612,1230,,,,,,
45,Vermont,2018,0.64,565,554,1120,,,,,,
46,Virginia,2018,0.68,567,550,1117,,,,,,
47,Washington,2018,0.69,543,538,1081,,,,,,
48,West Virginia,2018,0.28,513,486,999,,,,,,
49,Wisconsin,2018,0.03,641,653,1294,,,,,,
50,Wyoming,2018,0.03,633,625,1257,,,,,,
