,state,year,sat_participation,sat_read_write,sat_math,sat_total,act_participation,act_english,act_math,act_reading,act_science,act_composite
0,Alabama,2017,5.0,593,572,1165,100.0,18.9,18.4,19.7,19.4,19.2
1,Alaska,2017,38.0,547,533,1080,65.0,18.7,19.8,20.4,19.9,19.8
2,Arizona,2017,30.0,563,553,1116,62.0,18.6,19.8,20.1,19.8,19.7
3,Arkansas,2017,3.0,614,594,1208,100.0,18.9,19.0,19.7,19.5,19.4
4,California,2017,53.0,531,524,1055,31.0,22.5,22.7,23.1,22.2,22.8
5,Colorado,2017,11.0,606,595,1201,100.0,20.1,20.3,21.2,20.9,20.8
6,Connecticut,2017,100.0,530,512,1041,31.0,25.5,24.6,25.6,24.6,25.2
7,Delaware,2017,100.0,503,492,996,18.0,24.1,23.4,24.8,23.6,24.1
8,District of Columbia,2017,100.0,482,468,950,32.0,24.4,23.5,24.9,23.5,24.2
9,Florida,2017,83.0,520,497,1017,73.0,19.0,19.4,21.0,19.4,19.8
10,Georgia,2017,61.0,535,515,1050,55.00000000000001,21.0,20.9,22.0,21.3,21.4
11,Hawaii,2017,55.00000000000001,544,541,1085,90.0,17.8,19.2,19.2,19.3,19.0
12,Idaho,2017,93.0,513,493,1005,38.0,21.9,21.8,23.0,22.1,22.3
13,Illinois,2017,9.0,559,556,1115,93.0,21.0,21.2,21.6,21.3,21.4
14,Indiana,2017,63.0,542,532,1074,35.0,22.0,22.4,23.2,22.3,22.6
15,Iowa,2017,2.0,641,635,1275,67.0,21.2,21.3,22.6,22.1,21.9
16,Kansas,2017,4.0,632,628,1260,73.0,21.1,21.3,22.3,21.7,21.7
17,Kentucky,2017,4.0,631,616,1247,100.0,19.6,19.4,20.5,20.1,20.0
18,Louisiana,2017,4.0,611,586,1198,100.0,19.4,18.8,19.8,19.6,19.5
19,Maine,2017,95.0,513,499,1012,8.0,24.2,24.0,24.8,23.7,24.3
20,Maryland,2017,69.0,536,524,1060,28.000000000000004,23.3,23.1,24.2,23.800000000000008,23.6
21,Massachusetts,2017,76.0,555,551,1107,28.999999999999996,25.4,25.3,25.9,24.7,25.4
22,Michigan,2017,100.0,509,495,1005,28.999999999999996,24.1,23.7,24.5,23.8,24.1
23,Minnesota,2017,3.0,644,651,1295,100.0,20.4,21.5,21.8,21.6,21.5
24,Mississippi,2017,2.0,634,607,1242,100.0,18.2,18.1,18.8,18.8,18.6
25,Missouri,2017,3.0,640,631,1271,100.0,19.8,19.9,20.8,20.5,20.4
26,Montana,2017,10.0,605,591,1196,100.0,19.0,20.2,21.0,20.5,20.3
27,Nebraska,2017,3.0,629,625,1253,84.0,20.9,20.9,21.9,21.5,21.4
28,Nevada,2017,26.0,563,553,1116,100.0,16.3,18.0,18.1,18.2,17.8
29,New Hampshire,2017,96.0,532,520,1052,18.0,25.4,25.1,26.0,24.9,25.5
30,New Jersey,2017,70.0,530,526,1056,34.0,23.8,23.8,24.1,23.2,23.9
31,New Mexico,2017,11.0,577,561,1138,66.0,18.6,19.4,20.4,20.0,19.7
32,New York,2017,67.0,528,523,1052,31.0,23.8,24.0,24.6,23.9,24.2
33,North Carolina,2017,49.0,546,535,1081,100.0,17.8,19.3,19.6,19.3,19.1
34,North Dakota,2017,2.0,635,621,1256,98.0,19.0,20.4,20.5,20.6,20.3
35,Ohio,2017,12.0,578,570,1149,75.0,21.2,21.6,22.5,22.0,22.0
36,Oklahoma,2017,7.000000000000001,530,517,1047,100.0,18.5,18.8,20.1,19.6,19.4
37,Oregon,2017,43.0,560,548,1108,40.0,21.2,21.5,22.4,21.7,21.8
38,Pennsylvania,2017,65.0,540,531,1071,23.0,23.4,23.4,24.2,23.3,23.7
39,Rhode Island,2017,71.0,539,524,1062,21.0,24.0,23.3,24.7,23.4,24.0
40,South Carolina,2017,50.0,543,521,1064,100.0,17.5,18.6,19.1,18.9,18.7
41,South Dakota,2017,3.0,612,603,1216,80.0,20.7,21.5,22.3,22.0,21.8
42,Tennessee,2017,5.0,623,604,1228,100.0,19.5,19.2,20.1,19.9,19.8
43,Texas,2017,62.0,513,507,1020,45.0,19.5,20.7,21.1,20.9,20.7
44,Utah,2017,3.0,624,614,1238,100.0,19.5,19.9,20.8,20.6,20.3
45,Vermont,2017,60.0,562,551,1114,28.999999999999996,23.3,23.1,24.4,23.2,23.6
46,Virginia,2017,65.0,561,541,1102,28.999999999999996,23.5,23.3,24.6,23.5,23.8
47,Washington,2017,64.0,541,534,1075,28.999999999999996,20.9,21.9,22.1,22.0,21.9
48,West Virginia,2017,14.000000000000002,558,528,1086,69.0,20.0,19.4,21.2,20.5,20.4
49,Wisconsin,2017,3.0,642,649,1291,100.0,19.7,20.4,20.6,20.9,20.5
50,Wyoming,2017,3.0,626,604,1230,100.0,19.4,19.8,20.8,20.6,20.2
0,Alabama,2018,6.0,595,571,1166,100.0,18.9,18.3,19.6,19.0,19.1
1,Alaska,2018,43.0,562,544,1106,33.0,19.8,20.6,21.6,20.7,20.8
2,Arizona,2018,28.999999999999996,577,572,1149,66.0,18.2,19.4,19.5,19.2,19.2
3,Arkansas,2018,5.0,592,576,1169,100.0,19.1,18.9,19.7,19.4,19.4
4,California,2018,60.0,540,536,1076,27.0,22.5,22.5,23.0,22.1,22.7
5,Colorado,2018,100.0,519,506,1025,30.0,23.9,23.2,24.4,23.5,23.9
6,Connecticut,2018,100.0,535,519,1053,26.0,26.0,24.8,26.1,24.9,25.6
7,Delaware,2018,100.0,505,492,998,17.0,23.7,23.1,24.5,23.4,23.2
8,District of Columbia,2018,92.0,497,480,977,32.0,23.7,22.7,24.4,23.0,23.6
9,Florida,2018,97.0,522,493,1014,66.0,19.2,19.3,21.1,19.5,19.9
10,Georgia,2018,70.0,542,522,1064,53.0,20.9,20.7,21.2,21.4,21.4
11,Hawaii,2018,56.00000000000001,550,549,1099,89.0,18.2,19.0,19.1,19.0,18.9
12,Idaho,2018,100.0,508,493,1001,36.0,21.9,21.6,23.2,22.1,22.3
13,Illinois,2018,99.0,513,506,1019,43.0,24.1,23.4,24.2,23.4,23.9
14,Indiana,2018,67.0,546,539,1086,32.0,21.9,22.3,23.1,22.2,22.5
15,Iowa,2018,3.0,634,631,1265,68.0,21.0,21.2,22.5,22.0,21.8
16,Kansas,2018,4.0,633,631,1265,71.0,21.0,21.1,22.3,21.5,21.6
17,Kentucky,2018,4.0,630,618,1248,100.0,19.9,19.7,20.8,20.1,20.2
18,Louisiana,2018,4.0,615,595,1210,100.0,19.0,18.5,19.6,19.1,19.2
19,Maine,2018,99.0,512,501,1013,7.000000000000001,23.8,23.6,24.7,23.4,24.0
20,Maryland,2018,76.0,545,535,1080,31.0,22.1,22.0,23.1,22.2,22.5
21,Massachusetts,2018,80.0,562,563,1125,25.0,25.5,25.2,25.9,24.7,25.5
22,Michigan,2018,100.0,511,499,1011,22.0,24.5,23.9,24.7,23.9,24.4
23,Minnesota,2018,4.0,643,655,1298,99.0,20.2,21.4,21.7,21.4,21.3
24,Mississippi,2018,3.0,630,606,1236,100.0,18.2,18.1,18.9,18.6,18.6
25,Missouri,2018,4.0,633,629,1262,100.0,19.5,19.7,20.5,20.0,20.0
26,Montana,2018,10.0,606,592,1198,100.0,18.7,19.9,20.7,20.0,20.0
27,Nebraska,2018,3.0,629,623,1252,100.0,19.4,19.8,20.4,20.1,20.1
28,Nevada,2018,23.0,574,566,1140,100.0,16.6,17.8,18.0,17.9,17.7
29,New Hampshire,2018,96.0,535,528,1063,16.0,25.1,24.7,25.6,24.4,25.1
30,New Jersey,2018,82.0,547,547,1094,31.0,23.8,23.6,24.0,23.0,23.7
31,New Mexico,2018,16.0,552,540,1093,67.0,18.3,19.1,20.1,19.7,19.4
32,New York,2018,79.0,534,534,1068,27.0,24.2,24.2,24.9,24.2,24.5
33,North Carolina,2018,52.0,554,543,1098,100.0,18.0,19.3,19.5,19.2,19.1
34,North Dakota,2018,2.0,640,643,1283,98.0,19.1,20.3,20.7,20.5,20.3
35,Ohio,2018,18.0,552,547,1099,100.0,19.3,20.3,20.8,20.4,20.3
36,Oklahoma,2018,8.0,541,521,1062,100.0,18.4,18.8,20.1,19.4,19.3
37,Oregon,2018,48.0,564,553,1117,42.0,20.6,20.9,21.9,21.1,21.3
38,Pennsylvania,2018,70.0,547,539,1086,20.0,23.3,23.2,24.0,23.1,23.5
39,Rhode Island,2018,97.0,513,505,1018,15.0,24.4,23.6,25.0,23.5,24.2
40,South Carolina,2018,55.00000000000001,547,523,1070,100.0,17.3,18.2,18.6,18.5,18.3
41,South Dakota,2018,3.0,622,618,1241,77.0,20.8,21.6,22.4,22.2,21.9
42,Tennessee,2018,6.0,624,607,1231,100.0,19.4,19.1,19.9,19.6,19.6
43,Texas,2018,66.0,520,512,1032,41.0,19.6,20.6,21.1,20.8,20.6
44,Utah,2018,4.0,618,612,1230,100.0,19.7,19.9,20.9,20.5,20.4
45,Vermont,2018,64.0,565,554,1120,24.0,23.9,23.4,24.9,23.8,24.1
46,Virginia,2018,68.0,567,550,1117,24.0,23.8,23.3,24.7,23.5,23.9
47,Washington,2018,69.0,543,538,1081,24.0,21.4,22.2,22.7,22.0,22.2
48,West Virginia,2018,28.000000000000004,513,486,999,65.0,19.8,19.4,21.3,20.4,20.3
49,Wisconsin,2018,3.0,641,653,1294,100.0,19.8,20.3,20.6,20.8,20.5
50,Wyoming,2018,3.0,633,625,1257,100.0,19.0,19.7,20.6,20.3,20.0
